league_id,fixture_id,league_name,league_country,league_logo,league_flag,event_date,event_timestamp,first_half_start,second_half_start,round,status,status_short,elapsed,venue,referee,home_team_team_id,home_team_team_name,home_team_logo,away_team_team_id,away_team_team_name,away_team_logo,goals_home_team,goals_away_team,score_half_time,score_full_time,score_extra_time,score_penalty
39,868177,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2023-02-18T15:00:00+00:00,1676732400,1676732400,1676736000,Regular Season - 24,Match Finished,FT,90,Gtech Community Stadium,P. Tierney,55,Brentford,https://media-2.api-sports.io/football/teams/55.png,52,Crystal Palace,https://media-1.api-sports.io/football/teams/52.png,1,1,0-0,1-1,,
39,868178,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2023-02-18T15:00:00+00:00,1676732400,1676732400,1676736000,Regular Season - 24,Match Finished,FT,90,The American Express Community Stadium,D. England,51,Brighton,https://media-1.api-sports.io/football/teams/51.png,36,Fulham,https://media-1.api-sports.io/football/teams/36.png,0,1,0-0,0-1,,
39,868179,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2023-02-18T15:00:00+00:00,1676732400,1676732400,1676736000,Regular Season - 24,Match Finished,FT,90,Stamford Bridge,D. Coote,49,Chelsea,https://media-3.api-sports.io/football/teams/49.png,41,Southampton,https://media-2.api-sports.io/football/teams/41.png,0,1,0-1,0-1,,
39,868180,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2023-02-18T15:00:00+00:00,1676732400,1676732400,1676736000,Regular Season - 24,Match Finished,FT,90,Goodison Park,A. Madley,45,Everton,https://media-2.api-sports.io/football/teams/45.png,63,Leeds,https://media-3.api-sports.io/football/teams/63.png,1,0,0-0,1-0,,
39,868183,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2023-02-18T15:00:00+00:00,1676732400,1676732400,1676736000,Regular Season - 24,Match Finished,FT,90,The City Ground,G. Scott,65,Nottingham Forest,https://media-2.api-sports.io/football/teams/65.png,50,Manchester City,https://media-1.api-sports.io/football/teams/50.png,1,1,0-1,1-1,,
39,868185,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2023-02-18T15:00:00+00:00,1676732400,1676732400,1676736000,Regular Season - 24,Match Finished,FT,90,Molineux Stadium,M. Salisbury,39,Wolves,https://media-3.api-sports.io/football/teams/39.png,35,Bournemouth,https://media-3.api-sports.io/football/teams/35.png,0,1,0-0,0-1,,
39,868182,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2023-02-18T17:30:00+00:00,1676741400,1676741400,1676745000,Regular Season - 24,Match Finished,FT,90,St. James' Park,A. Taylor,34,Newcastle,https://media-3.api-sports.io/football/teams/34.png,40,Liverpool,https://media-3.api-sports.io/football/teams/40.png,0,2,0-2,0-2,,
39,868181,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2023-02-19T14:00:00+00:00,1676815200,1676815200,1676818800,Regular Season - 24,Match Finished,FT,90,Old Trafford,S. Attwell,33,Manchester United,https://media-3.api-sports.io/football/teams/33.png,46,Leicester,https://media-3.api-sports.io/football/teams/46.png,3,0,1-0,3-0,,
39,868184,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2023-02-19T16:30:00+00:00,1676824200,1676824200,1676827800,Regular Season - 24,Match Finished,FT,90,Tottenham Hotspur Stadium,M. Oliver,47,Tottenham,https://media-2.api-sports.io/football/teams/47.png,48,West Ham,https://media-2.api-sports.io/football/teams/48.png,2,0,0-0,2-0,,
39,868189,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2023-02-24T20:00:00+00:00,1677268800,1677268800,1677272400,Regular Season - 25,Match Finished,FT,90,Craven Cottage,M. Oliver,36,Fulham,https://media-1.api-sports.io/football/teams/36.png,39,Wolves,https://media-3.api-sports.io/football/teams/39.png,1,1,0-1,1-1,,
39,868188,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2023-02-25T15:00:00+00:00,1677337200,1677337200,1677340800,Regular Season - 25,Match Finished,FT,90,Goodison Park,A. Taylor,45,Everton,https://media-2.api-sports.io/football/teams/45.png,66,Aston Villa,https://media-3.api-sports.io/football/teams/66.png,0,2,0-0,0-2,,
39,868190,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2023-02-25T15:00:00+00:00,1677337200,1677337200,1677340800,Regular Season - 25,Match Finished,FT,90,Elland Road,P. Bankes,63,Leeds,https://media-1.api-sports.io/football/teams/63.png,41,Southampton,https://media-3.api-sports.io/football/teams/41.png,1,0,0-0,1-0,,
39,868191,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2023-02-25T15:00:00+00:00,1677337200,1677337200,1677340800,Regular Season - 25,Match Finished,FT,90,King Power Stadium,C. Pawson,46,Leicester,https://media-3.api-sports.io/football/teams/46.png,42,Arsenal,https://media-3.api-sports.io/football/teams/42.png,0,1,0-0,0-1,,
39,868195,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2023-02-25T15:00:00+00:00,1677337200,1677337200,1677340800,Regular Season - 25,Match Finished,FT,90,London Stadium,J. Gillett,48,West Ham,https://media-1.api-sports.io/football/teams/48.png,65,Nottingham Forest,https://media-2.api-sports.io/football/teams/65.png,4,0,0-0,4-0,,
39,868186,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2023-02-25T17:30:00+00:00,1677346200,1677346200,1677349800,Regular Season - 25,Match Finished,FT,90,Vitality Stadium,P. Tierney,35,Bournemouth,https://media-2.api-sports.io/football/teams/35.png,50,Manchester City,https://media-2.api-sports.io/football/teams/50.png,1,4,0-3,1-4,,
39,868187,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2023-02-25T19:45:00+00:00,1677354300,1677354300,1677357900,Regular Season - 25,Match Finished,FT,90,Selhurst Park,D. England,52,Crystal Palace,https://media-2.api-sports.io/football/teams/52.png,40,Liverpool,https://media-2.api-sports.io/football/teams/40.png,0,0,0-0,0-0,,
39,868194,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2023-02-26T13:30:00+00:00,1677418200,1677418200,1677421800,Regular Season - 25,Match Finished,FT,90,Tottenham Hotspur Stadium,S. Attwell,47,Tottenham,https://media-3.api-sports.io/football/teams/47.png,49,Chelsea,https://media-3.api-sports.io/football/teams/49.png,2,0,0-0,2-0,,
39,868007,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2023-03-01T19:45:00+00:00,1677699900,1677699900,1677703500,Regular Season - 7,Match Finished,FT,90,Emirates Stadium,M. Oliver,42,Arsenal,https://media-1.api-sports.io/football/teams/42.png,45,Everton,https://media-2.api-sports.io/football/teams/45.png,4,0,2-0,4-0,,
39,868012,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2023-03-01T20:00:00+00:00,1677700800,1677700800,1677704400,Regular Season - 7,Match Finished,FT,90,Anfield,P. Tierney,40,Liverpool,https://media-1.api-sports.io/football/teams/40.png,39,Wolves,https://media-1.api-sports.io/football/teams/39.png,2,0,0-0,2-0,,
39,868202,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2023-03-04T12:30:00+00:00,1677933000,1677933000,1677936600,Regular Season - 26,Match Finished,FT,90,Etihad Stadium,S. Hooper,50,Manchester City,https://media-3.api-sports.io/football/teams/50.png,34,Newcastle,https://media-1.api-sports.io/football/teams/34.png,2,0,1-0,2-0,,
39,868196,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2023-03-04T15:00:00+00:00,1677942000,1677942000,1677945600,Regular Season - 26,Match Finished,FT,90,Emirates Stadium,C. Kavanagh,42,Arsenal,https://media-3.api-sports.io/football/teams/42.png,35,Bournemouth,https://media-3.api-sports.io/football/teams/35.png,3,2,0-1,3-2,,
39,868197,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2023-03-04T15:00:00+00:00,1677942000,1677942000,1677945600,Regular Season - 26,Match Finished,FT,90,Villa Park,C. Pawson,66,Aston Villa,https://media-1.api-sports.io/football/teams/66.png,52,Crystal Palace,https://media-2.api-sports.io/football/teams/52.png,1,0,1-0,1-0,,
39,868199,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2023-03-04T15:00:00+00:00,1677942000,1677942000,1677945600,Regular Season - 26,Match Finished,FT,90,The American Express Community Stadium,S. Attwell,51,Brighton,https://media-2.api-sports.io/football/teams/51.png,48,West Ham,https://media-2.api-sports.io/football/teams/48.png,4,0,1-0,4-0,,
