league_id,fixture_id,coach_id,coach_name,formation,team_id,startingXI,substitutes
39,868251,1993,E. ten Hag,4-2-3-1,882,882-David de Gea-1-G|18846-A. Wan-Bissaka-29-D|2935-H. Maguire-5-D|889-V. Lindelöf-2-D|886-Diogo Dalot-20-D|747-Casemiro-18-M|174-C. Eriksen-14-M|9971-Antony-21-M|1485-Bruno Fernandes-8-M|18-J. Sancho-25-M|908-A. Martial-9-F,25416-W. Weghorst-27-F|905-Fred-17-M|70078-F. Pellistri-28-M|138806-B. Williams-33-D|2930-J. Butland-31-G|284295-Zidane Iqbal-55-M|288106-Marc Jurado-63-D|153430-A. Elanga-36-F|20319-N. Bishop-30-G
39,868249,11,Javi Gracia,4-2-3-1,20619,20619-I. Meslier-1-G|533-R. Kristensen-25-D|26238-R. Koch-5-D|64003-P. Struijk-21-D|1564-Junior Firpo-3-D|415-W. McKennie-28-M|47341-Marc Roca-8-M|19128-J. Harrison-11-M|50739-B. Aaronson-7-M|37161-L. Sinisterra-23-M|935-Rodrigo-19-F,90590-G. Rutter-24-F|37724-C. Summerville-10-M|162128-W. Gnonto-29-F|19127-A. Forshaw-4-M|19118-L. Cooper-6-D|153400-S. Greenwood-42-F|1558-Joel Robles-22-G|2048-M. Wöber-39-D|19116-L. Ayling-2-D
39,868249,1,J. Klopp,4-3-3,280,280-Alisson-1-G|283-T. Alexander-Arnold-66-D|1145-I. Konaté-5-D|290-V. van Dijk-4-D|289-A. Robertson-26-D|292-J. Henderson-14-M|299-Fabinho-3-M|293-C. Jones-17-M|306-Mohamed Salah-11-F|247-C. Gakpo-18-F|2678-Diogo Jota-20-F,51617-D. Núñez-27-F|2489-L. Díaz-23-F|296-J. Milner-7-M|302-Roberto Firmino-9-F|507-Thiago Alcântara-6-M|1600-K. Tsimikas-21-D|19035-H. Elliott-19-M|281-C. Kelleher-62-G|286-J. Matip-32-D
39,868257,7248,Mikel Arteta,4-3-3,20355,20355-A. Ramsdale-1-G|19959-B. White-4-D|1440-R. Holding-16-D|22224-Gabriel Magalhães-6-D|641-O. Zinchenko-35-D|37127-M. Ødegaard-8-M|49-T. Partey-5-M|41725-Fábio Vieira-21-M|1460-B. Saka-7-F|643-Gabriel Jesus-9-F|127769-Gabriel Martinelli-11-F,1946-L. Trossard-19-F|1468-E. Nketiah-14-F|727-R. Nelson-24-F|309505-R. Walters-97-D|50999-M. Turner-30-G|61431-J. Kiwior-15-D|2289-Jorginho-20-M|1117-K. Tierney-3-D|1161-E. Smith Rowe-10-M
39,868257,18918,Rubén Sellés,4-4-2,105971,105971-G. Bazunu-31-G|171-K. Walker-Peters-2-D|2999-J. Bednarek-35-D|25061-A. Bella-Kotchap-37-D|20600-R. Perraud-15-D|18946-M. Elyounoussi-24-M|2938-J. Ward-Prowse-8-M|282125-R. Lavia-45-M|19484-A. Armstrong-9-M|18769-T. Walcott-32-F|195993-C. Alcaraz-26-F,1902-D. Ćaleta-Car-6-D|30476-Lyanco-4-D|199837-K. Sulemana-20-M|15812-P. Onuachu-12-F|20557-I. Diallo-27-M|19825-J. Aribo-7-M|18945-S. Armstrong-17-M|18935-A. McCarthy-1-G|1330-M. Oršić-11-F
39,868261,10,Marco Silva,4-2-3-1,1438,1438-B. Leno-17-G|657-K. Tete-2-D|19145-T. Adarabioyo-4-D|19023-T. Ream-13-D|19549-A. Robinson-33-D|19480-H. Reed-6-M|41104-João Palhinha-26-M|19221-H. Wilson-8-M|899-Andreas Pereira-18-M|2294-Willian-20-M|19004-B. De Cordova-Reid-14-F,104-Carlos Vinícius-30-F|2823-S. Lukić-28-M|19025-T. Cairney-10-M|697-M. Solomon-11-F|19027-N. Kebano-7-M|18814-I. Diop-31-D|190-Cédric Soares-12-D|18962-S. Duffy-5-D|19657-M. Rodák-1-G
39,868261,11,Javi Gracia,4-2-3-1,20619,20619-I. Meslier-1-G|533-R. Kristensen-25-D|26238-R. Koch-5-D|19118-L. Cooper-6-D|2048-M. Wöber-39-D|47341-Marc Roca-8-M|415-W. McKennie-28-M|37724-C. Summerville-10-M|50739-B. Aaronson-7-M|19128-J. Harrison-11-M|935-Rodrigo-19-F,37161-L. Sinisterra-23-F|19134-P. Bamford-9-F|162128-W. Gnonto-29-F|19127-A. Forshaw-4-M|90590-G. Rutter-24-F|64003-P. Struijk-21-D|1564-Junior Firpo-3-D|1558-Joel Robles-22-G|19116-L. Ayling-2-D
39,868258,90,T. Frank,4-3-3,19465,19465-David Raya-1-G|44871-A. Hickey-2-D|19789-E. Pinnock-5-D|18917-B. Mee-16-D|19346-R. Henry-3-D|47438-M. Jensen-8-M|30407-C. Nørgaard-6-M|25073-V. Janelt-27-M|20589-B. Mbeumo-19-F|19974-I. Toney-17-F|178077-K. Schade-9-F,15799-F. Onyeka-15-M|15908-M. Damsgaard-24-M|20649-Y. Wissa-11-M|19362-J. Dasilva-10-M|15745-M. Rasmussen-30-D|20110-S. Baptiste-26-M|2731-M. Jørgensen-13-D|2699-S. Ghoddos-14-F|278041-M. Cox-34-G
39,868258,18,Unai Emery,4-2-3-1,19599,19599-E. Martínez-1-G|894-A. Young-18-D|19354-E. Konsa-4-D|19179-T. Mings-5-D|47547-Álex Moreno-15-D|2922-L. Dendoncker-32-M|47522-Douglas Luiz-6-M|19191-J.  McGinn-7-M|19071-E. Buendía-10-M|19192-J. Ramsey-41-M|19366-O. Watkins-11-F,766-R. Olsen-25-G|671-B. Traoré-9-F|2724-L. Digne-27-D|19016-C. Chambers-16-D|308843-T. Patterson-66-M|169291-V. Sinisalo-38-G|278123-S. Revan-56-D|13489-J. Durán-22-F|21090-Diego Carlos-3-D
39,868260,9,R. Hodgson,4-3-3,19143,19143-S. Johnstone-21-G|18847-J. Ward-2-D|2729-J. Andersen-16-D|67971-M. Guéhi-6-D|182201-T. Mitchell-3-D|19586-E. Eze-10-M|3339-C. Doucouré-28-M|18843-J. Schlupp-15-M|19617-M. Olise-7-F|1135-O. Édouard-22-F|3428-J. Ayew-9-F,25927-J. Mateta-14-F|18806-W. Hughes-19-M|18852-L. Milivojević-4-M|126949-C. Richards-26-D|1427-A. Lokonga-8-M|18849-J. McArthur-18-M|18844-J. Tomkins-5-D|18835-Guaita-13-G|18853-J. Riedewald-44-M
39,868260,7,S. Dyche,4-2-3-1,2932,2932-J. Pickford-1-G|19150-M. Holgate-4-D|2934-M. Keane-5-D|2936-J. Tarkowski-2-D|2165-V. Mykolenko-19-D|895-J. Garner-37-M|2990-I. Gueye-27-M|18781-D. Gray-11-M|1455-A. Iwobi-17-M|18929-D. McNeil-7-M|18766-D. Calvert-Lewin-9-F,19073-B. Godfrey-22-D|19364-N. Maupay-20-F|18858-A. Begović-15-G|138786-E. Simms-50-F|138417-N. Patterson-3-D|18762-T. Davies-26-M|2484-Y. Mina-13-D|18741-C. Coady-30-D|20224-A. Lonergan-31-G
39,868262,14,D. Smith,4-2-3-1,17736,17736-D. Iversen-31-G|2920-T. Castagne-27-D|8694-W. Faes-3-D|18776-Ç. Söyüncü-4-D|158710-V. Kristiansen-16-D|2926-Y. Tielemans-8-M|22233-B. Soumaré-42-M|691-Tetê-37-M|2778-K. Ịheanachọ-14-M|1098-P. Daka-20-M|18788-J. Vardy-9-F,148099-K. Dewsbury-Hall-22-M|18786-W. Ndidi-25-M|2925-D. Praet-26-M|18785-N. Mendy-24-M|18146-D. Ward-1-G|20079-H. Souttar-15-D|152969-L. Thomas-33-D|3421-D. Amartey-18-D|284487-Wanya Marçal-40-M
39,868262,1594,Lopetegui,4-4-2,1590,1590-José Sá-1-G|130-Nélson Semedo-22-D|19147-C. Dawson-15-D|18744-M. Kilman-23-D|41606-Toti-24-D|41621-Matheus Nunes-27-M|195103-João Gomes-35-M|18947-M. Lemina-5-M|2056-Pablo Sarabia-21-M|1165-Matheus Cunha-12-F|54-Diego Costa-29-F,2676-Rúben Neves-8-M|2677-João Moutinho-28-M|24888-Hwang Hee-Chan-11-F|1605-Daniel Podence-10-M|1864-Pedro Neto-7-F|280687-Hugo Bueno-64-D|19341-D. Bentley-25-G|19495-N. Collins-4-D|18753-Adama Traoré-37-F
39,868263,1,J. Klopp,4-3-3,280,280-Alisson-1-G|283-T. Alexander-Arnold-66-D|1145-I. Konaté-5-D|290-V. van Dijk-4-D|289-A. Robertson-26-D|292-J. Henderson-14-M|299-Fabinho-3-M|293-C. Jones-17-M|306-Mohamed Salah-11-F|247-C. Gakpo-18-F|2678-Diogo Jota-20-F,507-Thiago Alcântara-6-M|51617-D. Núñez-27-F|296-J. Milner-7-M|2489-L. Díaz-23-F|1600-K. Tsimikas-21-D|284-J. Gomez-2-D|286-J. Matip-32-D|19035-H. Elliott-19-M|281-C. Kelleher-62-G
39,868263,98,S. Cooper,3-4-2-1,731,731-K. Navas-12-G|371-Felipe-38-D|25916-M. Niakhaté-19-D|44811-S. McKenna-26-D|138780-N. Williams-7-M|2807-R. Freuler-23-M|24882-O. Mangala-5-M|10122-Renan Lodi-32-M|18746-M. Gibbs-White-10-F|275170-Danilo-28-F|8598-T. Awoniyi-9-F,1746-J. Worrall-4-D|129711-B. Johnson-20-F|1370-A. Ayew-34-F|18884-S. Surridge-16-F|80-E. Dennis-25-F|17365-H. Toffolo-15-D|900-J. Lingard-11-M|18836-W. Hennessey-13-G|325967-O. Hammond-41-M
39,868256,18151,G. O'Neil,3-4-2-1,912,912-Neto-13-G|18940-J. Stephens-3-D|18866-C. Mepham-6-D|19263-L. Kelly-5-D|18869-A. Smith-15-M|19482-J. Rothwell-14-M|2490-J. Lerma-8-M|19245-M. Tavernier-16-M|1125-R. Christie-10-F|2734-P. Billing-29-F|18883-D. Solanke-9-F,19804-K. Moore-21-F|51572-M. Viña-18-D|196855-J. Anthony-32-F|284797-D. Ouattara-11-F|18872-L. Cook-4-M|6610-M. Senesi-25-D|161671-I. Zabarnyi-27-D|19281-A. Semenyo-24-F|18860-M. Travers-1-G
39,868256,5662,D. Moyes,4-3-3,2997,2997-Ł. Fabiański-1-G|1231-V. Coufal-5-D|2726-K. Zouma-4-D|21694-N. Aguerd-27-D|18813-A. Cresswell-3-D|1243-T. Souček-28-M|2937-D. Rice-41-M|1646-Lucas Paquetá-11-M|19428-J. Bowen-20-F|18819-M. Antonio-9-F|19361-S. Benrahma-22-F,18955-D. Ings-18-F|1697-Pablo Fornals-8-M|665-M. Cornet-14-F|19733-F. Downes-12-M|261-T. Kehrer-24-D|253-A. Aréola-13-G|18817-A. Ogbonna-21-D|2473-M. Lanzini-10-M|2284-Emerson-33-D
39,868265,5,E. Howe,4-3-3,18911,18911-N. Pope-22-G|169-K. Trippier-2-D|2806-F. Schär-5-D|38734-S. Botman-4-D|18961-D. Burn-33-D|18901-S. Longstaff-36-M|10135-Bruno Guimarães-39-M|1463-J. Willock-28-M|19163-J. Murphy-23-F|2864-A. Isak-14-F|723-Joelinton-7-F,2507-M. Almirón-24-M|2939-C. Wilson-9-F|18896-Javier Manquillo-19-D|138787-A. Gordon-8-F|18894-J. Lascelles-6-D|138908-E. Anderson-32-M|18941-M. Targett-13-D|18903-M. Ritchie-11-M|18886-M. Dúbravka-1-G
39,868265,8831,C. Stellini,4-3-3,159,159-H. Lloris-1-G|47519-Pedro Porro-23-D|30776-C. Romero-17-D|175-E. Dier-15-D|207-I. Perišić-14-D|237129-P. Sarr-29-M|180-O. Skipp-4-M|2735-P. Højbjerg-5-M|30435-D. Kulusevski-21-F|184-H. Kane-10-F|186-Son Heung-Min-7-F,168-D. Sánchez-6-D|18932-F. Forster-20-G|83-A. Danjuma-16-M|2413-Richarlison-9-F|149550-J. Tanganga-25-D|133-C. Lenglet-34-D|284414-R. Mundle-55-M|273757-A. Devine-45-M|164-B. Davies-33-D
